batter,avg,slg,iso
605137,0.24324324324324326,0.3783783783783784,0.13513513513513514
605141,0.28846153846153844,0.4346153846153846,0.1461538461538462
605170,0.24242424242424243,0.43434343434343436,0.19191919191919193
605204,0.211864406779661,0.3050847457627119,0.09322033898305088
605361,0.19834710743801653,0.2892561983471074,0.09090909090909088
606115,0.1992619926199262,0.3210332103321033,0.12177121771217711
606192,0.2508591065292096,0.46048109965635736,0.20962199312714774
606466,0.2891156462585034,0.5408163265306123,0.2517006802721089
606992,0.5,0.5,0.0
607043,0.25735294117647056,0.47058823529411764,0.21323529411764708
607054,0.047619047619047616,0.047619047619047616,0.0
607208,0.3465909090909091,0.4772727272727273,0.13068181818181818
607680,0.302158273381295,0.5323741007194245,0.2302158273381295
607732,0.2689075630252101,0.4369747899159664,0.16806722689075632
